SETTLEMENTDATE,TOTALDEMAND
1/03/2019 0:30,7465.01
1/03/2019 1:00,7262.19
1/03/2019 1:30,6982.12
1/03/2019 2:00,6776.47
1/03/2019 2:30,6659.09
1/03/2019 3:00,6588.98
1/03/2019 3:30,6555.97
1/03/2019 4:00,6606.68
1/03/2019 4:30,6848.87
1/03/2019 5:00,7123.64
1/03/2019 5:30,7582.97
1/03/2019 6:00,7968.83
1/03/2019 6:30,8321.53
1/03/2019 7:00,8530.48
1/03/2019 7:30,8657.77
1/03/2019 8:00,8607.94
1/03/2019 8:30,8637
1/03/2019 9:00,8694.04
1/03/2019 9:30,8716.16
1/03/2019 10:00,8821.15
1/03/2019 10:30,8819.82
1/03/2019 11:00,8909.41
1/03/2019 11:30,8912.2
1/03/2019 12:00,8895.23
1/03/2019 12:30,8889.18
1/03/2019 13:00,9003.6
1/03/2019 13:30,9039.15
1/03/2019 14:00,9117.24
1/03/2019 14:30,9212.47
1/03/2019 15:00,9457.75
1/03/2019 15:30,9584.09
1/03/2019 16:00,9764.2
1/03/2019 16:30,9754.65
1/03/2019 17:00,9743.72
1/03/2019 17:30,9480.3
1/03/2019 18:00,9363.82
1/03/2019 18:30,9180.07
1/03/2019 19:00,9127.43
1/03/2019 19:30,9084.57
1/03/2019 20:00,8888.42
1/03/2019 20:30,8707.97
1/03/2019 21:00,8415.29
1/03/2019 21:30,8407.01
1/03/2019 22:00,8153.12
1/03/2019 22:30,8139.21
1/03/2019 23:00,7927.37
1/03/2019 23:30,7730.45
2/03/2019 0:00,7557.26
2/03/2019 0:30,7349.63
2/03/2019 1:00,7167.9
2/03/2019 1:30,6845.25
2/03/2019 2:00,6572.2
2/03/2019 2:30,6510.66
2/03/2019 3:00,6469.09
2/03/2019 3:30,6474.87
2/03/2019 4:00,6489.65
2/03/2019 4:30,6568.63
2/03/2019 5:00,6621.49
2/03/2019 5:30,6836.82
2/03/2019 6:00,6917.35
2/03/2019 6:30,7124.49
2/03/2019 7:00,7378.05
2/03/2019 7:30,7620.98
2/03/2019 8:00,7741.77
2/03/2019 8:30,7905.75
2/03/2019 9:00,7927.18
2/03/2019 9:30,8030.86
2/03/2019 10:00,7957.48
2/03/2019 10:30,7890.85
2/03/2019 11:00,7934.06
2/03/2019 11:30,7933.46
2/03/2019 12:00,7987.51
2/03/2019 12:30,7971.47
2/03/2019 13:00,7975.73
2/03/2019 13:30,8083.13
2/03/2019 14:00,8145.85
2/03/2019 14:30,8269.58
2/03/2019 15:00,8403.92
2/03/2019 15:30,8492.8
2/03/2019 16:00,8617.42
2/03/2019 16:30,8645.71
2/03/2019 17:00,8752
2/03/2019 17:30,8738.97
2/03/2019 18:00,8728.55
2/03/2019 18:30,8553.7
2/03/2019 19:00,8573.1
2/03/2019 19:30,8568.41
2/03/2019 20:00,8414.21
2/03/2019 20:30,8239.53
2/03/2019 21:00,8145.95
2/03/2019 21:30,7955.29
2/03/2019 22:00,7876.54
2/03/2019 22:30,7811.84
2/03/2019 23:00,7618.2
2/03/2019 23:30,7367.43
3/03/2019 0:00,7243.87
3/03/2019 0:30,7052.1
3/03/2019 1:00,6878.4
3/03/2019 1:30,6637.96
3/03/2019 2:00,6468.11
3/03/2019 2:30,6374.57
3/03/2019 3:00,6303.15
3/03/2019 3:30,6285.2
3/03/2019 4:00,6269.85
3/03/2019 4:30,6363.36
3/03/2019 5:00,6381.63
3/03/2019 5:30,6515.86
3/03/2019 6:00,6582.58
3/03/2019 6:30,6730.8
3/03/2019 7:00,6898.89
3/03/2019 7:30,7046.88
3/03/2019 8:00,7237.46
3/03/2019 8:30,7335.57
3/03/2019 9:00,7455.63
3/03/2019 9:30,7446.76
3/03/2019 10:00,7493.11
3/03/2019 10:30,7515.06
3/03/2019 11:00,7572.44
3/03/2019 11:30,7711
3/03/2019 12:00,7794.65
3/03/2019 12:30,7892.83
3/03/2019 13:00,7976.78
3/03/2019 13:30,8152.75
3/03/2019 14:00,8224.62
3/03/2019 14:30,8395.44
3/03/2019 15:00,8637.56
3/03/2019 15:30,8841.28
3/03/2019 16:00,9092.63
3/03/2019 16:30,9275.21
3/03/2019 17:00,9477.11
3/03/2019 17:30,9606.91
3/03/2019 18:00,9553.36
3/03/2019 18:30,9408.16
3/03/2019 19:00,9230.61
3/03/2019 19:30,9178.79
3/03/2019 20:00,8969.51
3/03/2019 20:30,8779.33
3/03/2019 21:00,8477.14
3/03/2019 21:30,8269.63
3/03/2019 22:00,7986.08
3/03/2019 22:30,7861.01
3/03/2019 23:00,7598.32
3/03/2019 23:30,7379.63
4/03/2019 0:00,7246.92
4/03/2019 0:30,7098.27
4/03/2019 1:00,6958.91
4/03/2019 1:30,6679.91
4/03/2019 2:00,6535.51
4/03/2019 2:30,6416.16
4/03/2019 3:00,6426.14
4/03/2019 3:30,6485.9
4/03/2019 4:00,6504.59
4/03/2019 4:30,6744.82
4/03/2019 5:00,7005.82
4/03/2019 5:30,7527.96
4/03/2019 6:00,7952.87
4/03/2019 6:30,8374.56
4/03/2019 7:00,8619.82
4/03/2019 7:30,8804.8
4/03/2019 8:00,8789.83
4/03/2019 8:30,8885.35
4/03/2019 9:00,8917.76
4/03/2019 9:30,9038.34
4/03/2019 10:00,9063.56
4/03/2019 10:30,9131.38
4/03/2019 11:00,9226.07
4/03/2019 11:30,9312.4
4/03/2019 12:00,9478.68
4/03/2019 12:30,9683.45
4/03/2019 13:00,9914.31
4/03/2019 13:30,10099.78
4/03/2019 14:00,10274.68
4/03/2019 14:30,10501.92
4/03/2019 15:00,10853.93
4/03/2019 15:30,10979.65
4/03/2019 16:00,11172.95
4/03/2019 16:30,11164.61
4/03/2019 17:00,11051.79
4/03/2019 17:30,10721.09
4/03/2019 18:00,10462.2
4/03/2019 18:30,10122.18
4/03/2019 19:00,10014.96
4/03/2019 19:30,9868.35
4/03/2019 20:00,9510.4
4/03/2019 20:30,9233.97
4/03/2019 21:00,8918.18
4/03/2019 21:30,8781.29
4/03/2019 22:00,8481.63
4/03/2019 22:30,8403.15
4/03/2019 23:00,8119.34
4/03/2019 23:30,7877.14
5/03/2019 0:00,7725.62
5/03/2019 0:30,7528.89
5/03/2019 1:00,7282.4
5/03/2019 1:30,7048
5/03/2019 2:00,6866.59
5/03/2019 2:30,6731.2
5/03/2019 3:00,6648.53
5/03/2019 3:30,6691.7
5/03/2019 4:00,6767.38
5/03/2019 4:30,7012.19
5/03/2019 5:00,7214.64
5/03/2019 5:30,7764.98
5/03/2019 6:00,8171.37
5/03/2019 6:30,8562.08
5/03/2019 7:00,8792.91
5/03/2019 7:30,8891.24
5/03/2019 8:00,8917.46
5/03/2019 8:30,9015.87
5/03/2019 9:00,9044.64
5/03/2019 9:30,9029.61
5/03/2019 10:00,9037.5
5/03/2019 10:30,9049.51
5/03/2019 11:00,9105.33
5/03/2019 11:30,9191.54
5/03/2019 12:00,9365.77
5/03/2019 12:30,9579.98
5/03/2019 13:00,9788.9
